epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6357,1.25471,2.25505,1.21065,0.97764,0.73333,0.91868,0.7122,0.87503,1.80577,0.95067,0.000657778,0.000657778,0.000657778
2,44.7556,1.08189,1.28751,1.12658,0.93518,0.81667,0.892,0.69766,0.88088,1.14682,0.96174,0.00125888,0.00125888,0.00125888
3,63.4007,1.16426,1.18655,1.12996,0.97779,0.81667,0.90046,0.68346,0.94377,1.02549,0.98926,0.00179399,0.00179399,0.00179399
4,85.9976,1.11536,1.15666,1.10648,0.95903,0.78029,0.91149,0.72918,0.82988,1.02877,0.96915,0.001703,0.001703,0.001703
5,110.631,0.96594,1.00343,1.0598,0.95744,0.88333,0.92111,0.71916,0.76645,0.88343,0.95405,0.001604,0.001604,0.001604
6,129.801,1.02064,1.00647,1.09045,0.94865,0.92376,0.93454,0.74603,0.78247,0.86061,0.97442,0.001505,0.001505,0.001505
7,149.236,0.9743,0.99433,1.07038,0.94169,0.9,0.94506,0.75575,0.76788,0.85042,0.95212,0.001406,0.001406,0.001406
8,170.298,0.90379,0.895,1.03783,0.9497,0.94418,0.96599,0.77555,0.73111,0.73677,0.93429,0.001307,0.001307,0.001307
9,190.726,0.90294,0.90168,1.0585,0.94342,0.93333,0.9691,0.79384,0.69932,0.74209,0.92492,0.001208,0.001208,0.001208
10,216.101,0.91472,0.90103,1.0374,0.94684,0.93333,0.97273,0.80003,0.69665,0.75477,0.92639,0.001109,0.001109,0.001109
11,243.202,0.76173,0.83555,0.94991,1,0.93146,0.97051,0.80856,0.72718,0.67227,0.9209,0.00101,0.00101,0.00101
12,269.706,0.76516,0.76635,0.96627,0.99679,0.95,0.97767,0.80823,0.67891,0.6549,0.91583,0.000911,0.000911,0.000911
13,293.398,0.72317,0.73878,0.94992,0.99558,0.95,0.97633,0.80644,0.6698,0.68178,0.91823,0.000812,0.000812,0.000812
14,316.935,0.73482,0.70345,0.97129,1,0.9279,0.97359,0.82813,0.62324,0.58889,0.89258,0.000713,0.000713,0.000713
15,338.434,0.71111,0.68727,0.95222,0.99725,0.95,0.96362,0.81832,0.6393,0.59614,0.90924,0.000614,0.000614,0.000614
16,357.697,0.66208,0.62357,0.94764,0.99773,0.95,0.97219,0.82785,0.62512,0.54004,0.89798,0.000515,0.000515,0.000515
17,377.638,0.65878,0.60915,0.94371,0.9966,0.95,0.98844,0.83187,0.59534,0.54991,0.89368,0.000416,0.000416,0.000416
18,403.773,0.60716,0.57627,0.9073,1,0.94685,0.98883,0.85541,0.57656,0.49833,0.8823,0.000317,0.000317,0.000317
19,429.974,0.56145,0.54185,0.88875,0.99841,0.93333,0.98459,0.84808,0.54969,0.487,0.87434,0.000218,0.000218,0.000218
20,453.681,0.58786,0.5604,0.93004,0.99746,0.93333,0.98576,0.84886,0.54987,0.48847,0.87656,0.000119,0.000119,0.000119
